vin,display_color,year,make,model,price,mileage,city,condition,dealer_name,state,trim,body_style
WP1AA2A59HLB04454,Jet Black Metallic,2017,Porsche,Macan,"$39,499","46,216 Miles",Miami,used,Florida Fine Cars Miami,FL,Base,suv
1FTEX1EP1JFB61095,Shadow Black,2018,Ford,F-150,"$34,999","32,170 Miles",Miami,used,Florida Fine Cars Miami,FL,XLT,truck
3GKALPEV8KL250380,Red Quartz Tintcoat,2019,GMC,Terrain,"$24,097","48,618 Miles",Spokane,used,Avis Car Sales Spokane,WA,SLT,suv
2C3CDZFJ2KH684574,Sublime Pearlcoat,2019,Dodge,Challenger,"$46,299","9,981 Miles",Margate,used,Florida Fine Cars - Margate,FL,R/T Scat Pack,coupe
5FNYF6H0XHB090862,White Diamond Pearl,2017,Honda,Pilot,"$28,299","69,243 Miles",Margate,used,Florida Fine Cars - Margate,FL,Elite,suv
KMHTG6AF0KU006564,Chalk White,2019,Hyundai,Veloster,"$16,199","52,419 Miles",Miami,used,Florida Fine Cars Miami,FL,2.0L,coupe
1J8GP58K38W104061,Modern Blue Pearlcoat,2008,Jeep,Liberty,"$7,130","150,330 Miles",Scottsdale,used,Pinnacle Nissan,AZ,Limited,suv
1C6RR7NT4HS737315,Red,2017,Ram,Pickup 1500,"$41,499","52,216 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,Laramie,truck
3N1AB7AP3JL646949,Fresh Powder,2018,Nissan,Sentra,"$15,726","81,731 Miles",Peoria,used,Peoria Nissan,AZ,SV,sedan
WVGAV7AX8HK020812,Pure White,2017,Volkswagen,Tiguan,"$17,799","29,835 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,2.0T Limited S,suv
WAUB4AF47JA116432,Moonlight Blue Metallic,2018,Audi,S4,"$39,599","41,996 Miles",West Palm Beach ,used,Florida Fine Cars West Palm Beach,FL,3.0T quattro Premium Plus,sedan
1C4SDJCT9LC114753,Black,2020,Dodge,Durango,"$47,999","26,103 Miles",Missoula,used,Northwest Motorsport - Missoula,MT,R/T,suv
7FARW2H56KE048001,Obsidian Blue Pearl,2019,Honda,CR-V,"$25,299","25,794 Miles",Miami,used,Florida Fine Cars Miami,FL,EX,suv
WBA8E1C57JA178353,Jet Black,2018,BMW,3 Series,"$26,299","32,710 Miles",Margate,used,Florida Fine Cars - Margate,FL,330e iPerformance,sedan
1ZVBP8CF0E5265947,Ingot Silver Metallic,2014,Ford,Mustang,"$23,895","45,283 Miles",Miami,used,Florida Fine Cars Miami,FL,GT,coupe
1G11Z5S34LU102132,Black,2020,Chevrolet,Impala,"$22,997","39,738 Miles",Fort Lauderdale,used,Avis Car Sales Fort Lauderdale,FL,LT,sedan
3VW2B7AJ8HM250434,Pure White,2017,Volkswagen,Jetta,"$13,997","32,730 Miles",Margate,used,Florida Fine Cars - Margate,FL,1.4T S,sedan
