price,make,model,year,mileage,display_color,vin,dealer_name,state,trim,body_style,condition,city
14998,Mercedes-Benz,SLClass,2000,70574 ,Black,WDBFA68F7YF191944,Sears Imported Autos,MN,SL 500,convertible,used,Minnetonka
950,ford,truck,2001,229886,red,  1ftrx17w41nb80705,167611176,IL,N/A,N/A,used,N/A
75,ford,truck,2001,295780,gold,  1ftrw08l61kc05834,167357592,AR,N/A,N/A,used,N/A
5000,dodge,truck,2001,109360,white,  1b7hc16x01s213315,167756836,GA,N/A,N/A,used,N/A
1400,dodge,truck,2002,185460,black,  1b7hg38n62s587845,167756423,MI,N/A,N/A,used,N/A
19993,Chevrolet,Corvette,2002,59204 ,Black,1G1YY22G725106798,Yark Chrysler Jeep Dodge Ram,OH,Base,coupe,used,Toledo
6995,Kia,Sorento,2003,180000 ,Clear White/Pewter Gray Cladding,KNDJC733035065836,Jim Butler Chevrolet,MO,LX,suv,used,Fenton
5466,Ford,Ranger,2003,167113 ,Arizona Beige Metallic,1FTYR14UX3PA59502,Del Toyota,PA,XL,truck,used,Thorndale
28100,Chevrolet,Corvette,2003,26244 ,Dark Cherry Red Metallic,1G1YY22G835128178,Toyota of Katy,TX,Base,coupe,used,Katy
26999,Ford,F150 SVT Lightning,2003,131100 ,Gray,2FTRF07393CA83348,Northwest Motorsport - Snohomish,WA,Base,truck,used,Lynnwood
7000,ford,truck,2003,176567,white,  1ftnx20p73ed69682,167754187,TN,N/A,N/A,used,N/A
13000,ford,convertible,2003,58817,gray,  1fahp60a63y107799,167754173,VA,N/A,N/A,used,N/A
900,ford,van,2003,142027,white,  1ftne24293hb19928,167758752,FL,N/A,N/A,used,N/A
2000,chevrolet,truck,2003,507985,red,  1gcgc24u53z128586,167781223,WI,N/A,N/A,used,N/A
18830,Chevrolet,SSR,2004,118599 ,Ricochet Silver Metallic,1GCES14P74B111734,Dan Deery Toyota,IA,LS,truck,used,Cedar Falls
5100,chevrolet,truck,2004,173321,gray,  1gchk23204f232462,167781222,WI,N/A,N/A,used,N/A
4700,ford,chassis,2005,225236,no_color,  1fdxf46p35ea79064,167758702,FL,N/A,N/A,used,N/A
8600,dodge,truck,2005,219823,gray,  3d7ks28c15g771945,167756840,south carolina,N/A,N/A,used,N/A
32776,Chevrolet,Corvette,2005,5456 ,Victory Red,1G1YY34U555131972,Rydell Chevrolet Waterloo,IA,Base,convertible,used,Waterloo
33624,BMW,Z4,2005,8838 ,Maldives Blue Metallic,4USBT53515LU10911,Sears Imported Autos,MN,3.0i,convertible,used,Minnetonka
19950,Dodge,Ram 1500,2005,110369 ,Gold,1D7HU18D25S287170,Premium Finance,CA,SLT,truck,used,Stanton
13988,Ford,Mustang,2005,81756 ,White,1ZVFT82H555152043,The Sharpest Rides,CO,GT Deluxe,coupe,used,Englewood
720,ford,wagon,2006,26914,no_color,  1fafp36n06w137851,167660576,FL,N/A,N/A,used,N/A
25,chevrolet,van,2006,165327,white,  1gndu23l46d143789,167650597,AR,N/A,N/A,used,N/A
14500,dodge,truck,2006,111782,silver,  1d7ks28c96j246101,167758709,PA,N/A,N/A,used,N/A
4200,chevrolet,cutaway,2006,118009,white,  1gbhg31u661113654,167781216,WI,N/A,N/A,used,N/A
4600,ford,truck,2006,240740,brown,  1ftpw14v66fa82105,167611554,MS,N/A,N/A,used,N/A
8995,Audi,A8 L,2006,162178 ,Champagne,WAUML44EX6N025552,Auto Center Bargain Lot,MN,quattro,sedan,used,Wayzata
9950,Subaru,Outback,2006,121225 ,Blue,4S4BP61C967346026,Shift SF - Test Drives Delivered to You,CA,2.5i,crossover,used,South San Francisco
18995,Ford,Mustang,2006,36623 ,Satin Silver Clearcoat Metallic,1ZVHT82H365148728,BMW of West St Louis,MO,GT Deluxe,coupe,used,Manchester
4995,Honda,Accord,2007,131410 ,Silver,1HGCM56747A011866,MFT Auction LLC,NJ,EX,sedan,used,Lodi
4800,Hyundai,Sonata,2007,156354 ,Powder White Pearl,5NPEU46F27H289649,Ken Garff Ford American Fork,UT,SE,sedan,used,American Fork
46999,Dodge,Ram Pickup 3500,2007,84715 ,Blue,3D7MX39A87G812314,Northwest Motorsport - Snohomish,WA,SLT,truck,used,Lynnwood
11499,Honda,Civic,2007,88976 ,Nighthawk Black Pearl,2HGFG21547H704852,IE Auto Exchange,CA,Si,coupe,used,Colton
8430,Hyundai,Santa Fe,2007,87766 ,Steel Gray,5NMSH13EX7H021074,Peoria Nissan,AZ,Limited,suv,used,Peoria
10500,Dodge,Ram 1500,2007,179438 ,Inferno Red Crystal Pearlcoat,1D7HU18P37J628272,Hall Chrysler Dodge Jeep Ram Chesapeake,VA,ST,truck,used,Chesapeake
7130,Jeep,Liberty,2008,150330 ,Modern Blue Pearlcoat,1J8GP58K38W104061,Pinnacle Nissan,AZ,Limited,suv,used,Scottsdale
7320,chevrolet,truck,2008,325611,silver,  1gchk23648f125262,167660581,FL,N/A,N/A,used,N/A
13000,ford,chassis,2008,93698,white,  1fdwf37r28eb95687,167754098,TN,N/A,N/A,used,N/A
