Customer ID,Age,Income_Bucket,Gender,State,Region,Marital_Status,No_of_children,Occupation,Vehicle_Segment,No_of_months,Hobbies,On_Call_Offer
46756841,28,2,M,Q,Sub-urban#,1,4,White Collar Clerical,SUV,39,Swimming,Plan 1
48408855,25,3,M,A,Sub-urban#,2,3,Engineer,Compact SUV,14,Painting,Plan 5
23645631,58,2,M,Z,Urban#,2,4,Defence,Car,24,Reading Books,Plan 5
65645152,37,1,M,W,Sub-urban#,2,4,Sales Executive,Pick up truck,27,Gourmet Cooking,Plan 4
52236057,64,2,M,S,Sub-urban,1,4,Chef,Pick up truck,56,Music,Plan 4
80008322,25,1,M,X,Urban,2,2,Investment Banker,Pick up truck,54,Watching movies,Plan 5
12663567,32,1,M,E,Sub-urban,2,1,Orthopeadic,Pick up truck,31,Football,Plan 4
62204295,59,3,M,D,Sub-urban,1,3,Gardener,Pick up truck,56,Hockey,Plan 4
92845629,56,2,M,C,Urban,1,2,Interior designer,Pick up truck,28,Hiking,Plan 5
76395421,38,2,M,R,Sub-urban,1,1,Architect,Pick up truck,46,Para-gliding,Plan 4
60991056,43,1,M,F,Sub-urban,2,0,Research Analyst,Pick up truck,13,Adventure Sports,Plan 4
32409997,50,1,M,V,Urban,1,3,Wildlife Photographer,Pick up truck,6,Racing,Plan 5
98602312,47,2,M,T,Sub-urban,1,1,Writer,Pick up truck,54,Gaming,Plan 4
99079614,67,2,M,G,Sub-urban,1,2,Marketing Analyst,Pick up truck,19,Gadgets,Plan 4
79493691,31,3,M,B,Urban,1,2,Designer,Pick up truck,60,Sketching,Plan 5
38414510,45,1,M,Y,Sub-urban,1,1,White Collar Clerical,Pick up truck,51,Swimming,Plan 4
43723235,36,2,M,H,Sub-urban,1,1,White Collar Clerical,Pick up truck,22,Painting,Plan 4
51381108,22,1,M,N,Urban,2,4,White Collar Clerical,Pick up truck,30,Reading Books,Plan 5
45114817,37,1,M,U,Sub-urban,1,1,White Collar Clerical,Pick up truck,44,Gourmet Cooking,Plan 4
78045206,25,1,M,J,Sub-urban,2,3,White Collar Clerical,Pick up truck,18,Music,Plan 4
12660799,29,3,M,M,Urban,2,2,White Collar Clerical,Pick up truck,22,Watching movies,Plan 5
43764089,73,1,M,I,Sub-urban,2,3,White Collar Clerical,Pick up truck,23,Football,Plan 4
16887435,72,2,M,K,Sub-urban,1,0,White Collar Clerical,Pick up truck,33,Hockey,Plan 4
34100303,62,3,M,L,Sub-urban,2,1,White Collar Clerical,Pick up truck,45,Hiking,Plan 4
51429057,55,2,M,O,Sub-urban,1,1,White Collar Clerical,Pick up truck,7,Para-gliding,Plan 4
30939550,67,2,M,P,Sub-urban,1,0,White Collar Clerical,Pick up truck,18,Adventure Sports,Plan 4
46553840,29,1,M,Q,Sub-urban,1,1,White Collar Clerical,Pick up truck,19,Racing,Plan 4
11353192,58,1,M,A,Sub-urban,1,4,White Collar Clerical,Pick up truck,54,Gaming,Plan 4
81749575,36,3,M,Z,Urban,2,3,White Collar Clerical,Pick up truck,21,Gadgets,Plan 5
93231075,18,2,M,W,Sub-urban,2,0,White Collar Clerical,Pick up truck,21,Sketching,Plan 4
65292650,36,1,M,S,Sub-urban,2,3,White Collar Clerical,Pick up truck,24,Music,Plan 4
92858941,24,2,M,X,Urban%,2,0,White Collar Clerical,Pick up truck,31,Watching movies,Plan 5
77412099,30,2,M,E,Sub-urban%,1,2,White Collar Clerical,Pick up truck,38,Football,Plan 4
28114506,68,2,M,D,Sub-urban%,1,3,White Collar Clerical,Pick up truck,39,Hockey,Plan 4
24164273,32,1,M,C,Urban%,1,3,White Collar Clerical,Pick up truck,41,Hiking,Plan 5
68737173,45,1,M,R,Sub-urban%,1,1,White Collar Clerical,Pick up truck,21,Para-gliding,Plan 4
11587013,38,3,M,F,Sub-urban,2,2,White Collar Clerical,Pick up truck,45,Adventure Sports,Plan 4
68430116,18,1,M,V,Urban,1,2,White Collar Clerical,Pick up truck,27,Racing,Plan 5
30552004,20,1,M,T,Sub-urban,2,3,White Collar Clerical,Pick up truck,32,Gaming,Plan 4
70524720,40,2,M,G,Sub-urban,1,1,White Collar Clerical,Pick up truck,26,Gadgets,Plan 4
82414589,73,2,M,B,Urban,2,1,White Collar Clerical,Pick up truck,55,Sketching,Plan 5
42265283,70,2,M,Y,Sub-urban,1,0,White Collar Clerical,Pick up truck,17,Swimming,Plan 4
15464791,31,1,M,J,Sub-urban,1,2,White Collar Clerical,Pick up truck,20,Painting,Plan 4
25734738,63,1,M,M,Urban,1,3,White Collar Clerical,Pick up truck,39,Reading Books,Plan 5
61343000,31,1,MA,I,Sub-urban,1,0,White Collar Clerical,Pick up truck,18,Gourmet Cooking,Plan 4
36685874,55,2,MA,K,Sub-urban,1,2,White Collar Clerical,Pick up truck,40,Music,Plan 4
71848005,50,2,MA,L,Sub-urban,1,0,White Collar Clerical,Pick up truck,37,Watching movies,Plan 4
11895730,55,2,MA,O,Sub-urban,1,2,White Collar Clerical,Pick up truck,43,Football,Plan 4
12122861,48,3,MA,P,Sub-urban,2,3,White Collar Clerical,Pick up truck,26,Hockey,Plan 4
21853258,21,3,MA,Q,Sub-urban,1,4,White Collar Clerical,Pick up truck,33,Hiking,Plan 4
28960100,25,1,MA,A,Sub-urban,1,4,White Collar Clerical,Pick up truck,30,Para-gliding,Plan 4
85217689,21,1,MA,Z,Urban,2,2,White Collar Clerical,Pick up truck,13,Adventure Sports,Plan 5
92793638,30,2,MA,W,Sub-urban,1,3,White Collar Clerical,Pick up truck,23,Racing,Plan 4
43003875,37,2,MA,S,Sub-urban,2,3,White Collar Clerical,Pick up truck,60,Gaming,Plan 4
57526027,49,1,MA,X,Urban,2,4,White Collar Clerical,Pick up truck,38,Gadgets,Plan 5
68182533,36,2,MA,E,Sub-urban,1,0,White Collar Clerical,Pick up truck,50,Sketching,Plan 4
24322325,74,2,MA,D,Sub-urban,1,4,White Collar Clerical,Pick up truck,26,Hockey,Plan 4
91153999,67,2,MA,C,Urban,1,4,White Collar Clerical,Pick up truck,33,Hiking,Plan 5
72764310,45,3,MA,D,Sub-urban,1,1,White Collar Clerical,Pick up truck,42,Para-gliding,Plan 4
53784513,72,3,MA,C,Urban,1,2,White Collar Clerical,Pick up truck,23,Adventure Sports,Plan 5
23251797,70,1,MA,R,Sub-urban,2,0,White Collar Clerical,Pick up truck,24,Racing,Plan 4
14092696,48,2,MA,F,Sub-urban,1,2,White Collar Clerical,Pick up truck,58,Gaming,Plan 4
18822994,53,2,MA,V,Urban,2,0,White Collar Clerical,Pick up truck,22,Gadgets,Plan 5
77266729,53,3,MA,T,Sub-urban,1,0,White Collar Clerical,Pick up truck,53,Sketching,Plan 4
11619301,74,1,MA,G,Sub-urban,1,2,White Collar Clerical,Pick up truck,23,Music,Plan 4
66787338,21,2,MA,B,Urban,1,3,White Collar Clerical,Pick up truck,49,Watching movies,Plan 5
29766166,18,3,MA,Y,Sub-urban,2,0,White Collar Clerical,SUV,8,Football,Plan 1
81818024,53,3,MA,H,Sub-urban,1,2,White Collar Clerical,Compact SUV,56,Hockey,Plan 5
24721016,56,1,M,N,Urban,1,2,White Collar Clerical,Car,37,Hiking,Plan 5
20432804,43,3,M,U,Sub-urban,2,3,White Collar Clerical,SUV,18,Para-gliding,Plan 1
75718752,58,2,M,J,Sub-urban,2,2,White Collar Clerical,SUV,14,Adventure Sports,Plan 1
89147260,38,3,M,M,Urban,2,1,White Collar Clerical,SUV,49,Racing,Plan 5
76485543,20,2,M,I,Sub-urban,1,3,White Collar Clerical,SUV,16,Gaming,Plan 1
96893403,36,2,M,K,Sub-urban,1,1,White Collar Clerical,SUV,23,Gadgets,Plan 1
29053788,70,2,M,L,Sub-urban,1,1,White Collar Clerical,SUV,43,Sketching,Plan 1
37201045,67,2,M,O,Sub-urban,2,3,White Collar Clerical,SUV,40,Swimming,Plan 1
56157511,55,1,M,P,Sub-urban,1,3,White Collar Clerical,SUV,14,Painting,Plan 1
44573542,70,3,M,Q,Sub-urban,2,4,White Collar Clerical,SUV,30,Reading Books,Plan 1
20710673,29,3,M,A,Sub-urban,2,4,White Collar Clerical,SUV,44,Gourmet Cooking,Plan 1
62147886,37,3,M,Z,Urban,2,0,White Collar Clerical,SUV,37,Music,Plan 5
89120496,61,1,M,W,Sub-urban,2,3,White Collar Clerical,SUV,25,Watching movies,Plan 1
98997074,43,1,M,S,Sub-urban,1,3,White Collar Clerical,SUV,40,Football,Plan 1
26765445,56,2,M,X,Urban,2,0,White Collar Clerical,SUV,26,Hockey,Plan 5
48714779,32,1,M,E,Sub-urban,1,0,White Collar Clerical,SUV,17,Hiking,Plan 1
75584378,62,1,M,D,Sub-urban,2,3,White Collar Clerical,SUV,17,Para-gliding,Plan 1
41170950,47,3,M,Q,Sub-urban,2,4,White Collar Clerical,SUV,45,Adventure Sports,Plan 1
78272828,40,1,M,A,Sub-urban,2,4,White Collar Clerical,SUV,42,Racing,Plan 1
50502474,31,3,M,Z,Urban,2,4,White Collar Clerical,SUV,48,Gaming,Plan 5
20370928,32,1,M,W,Sub-urban,1,0,White Collar Clerical,SUV,32,Gadgets,Plan 1
29245471,19,2,M,S,Sub-urban,2,1,White Collar Clerical,SUV,58,Sketching,Plan 1
48407703,54,1,M,X,Urban,1,2,White Collar Clerical,SUV,25,Swimming,Plan 5
92124165,45,3,M,E,Sub-urban,2,0,White Collar Clerical,SUV,15,Painting,Plan 1
11271230,74,3,M,D,Sub-urban,2,1,White Collar Clerical,SUV,25,Reading Books,Plan 1
27247590,23,2,M,C,Urban,2,1,White Collar Clerical,SUV,25,Gourmet Cooking,Plan 5
99003720,35,3,M,D,Sub-urban,1,2,White Collar Clerical,SUV,47,Music,Plan 1
30417669,73,3,M,C,Urban,1,2,White Collar Clerical,SUV,20,Watching movies,Plan 5
47980094,69,1,M,R,Sub-urban,2,3,White Collar Clerical,SUV,34,Football,Plan 1
45174614,20,1,M,F,Sub-urban,2,3,White Collar Clerical,SUV,9,Hockey,Plan 1
94440011,33,3,M,V,Urban,2,3,White Collar Clerical,SUV,43,Hiking,Plan 5
23637944,34,3,M,T,Sub-urban,2,1,White Collar Clerical,SUV,56,Para-gliding,Plan 1
80453999,58,1,M,G,Sub-urban,1,3,White Collar Clerical,SUV,60,Adventure Sports,Plan 1
59609670,74,1,M,B,Urban,1,0,White Collar Clerical,SUV,58,Racing,Plan 5
10706997,23,1,M,Y,Sub-urban,2,1,White Collar Clerical,SUV,52,Gaming,Plan 1
21455217,65,2,M,H,Sub-urban,1,0,White Collar Clerical,SUV,59,Gadgets,Plan 1
59065485,74,1,M,N,Urban,1,3,White Collar Clerical,Compact SUV,27,Sketching,Plan 2
64582795,53,3,M,U,Sub-urban,1,3,White Collar Clerical,Compact SUV,60,Swimming,Plan 5
75724604,26,3,M,J,Sub-urban,2,4,White Collar Clerical,Compact SUV,18,Painting,Plan 5
34097782,44,2,M,M,Urban,1,1,White Collar Clerical,Compact SUV,18,Reading Books,Plan 2
27770969,74,3,M,I,Sub-urban,2,0,White Collar Clerical,Compact SUV,49,Gourmet Cooking,Plan 5
49787696,36,3,M,K,Sub-urban,1,0,White Collar Clerical,Compact SUV,48,Music,Plan 5
95473788,58,1,M,L,Sub-urban,1,2,White Collar Clerical,Compact SUV,50,Watching movies,Plan 5
60966530,41,1,M,O,Sub-urban,1,3,White Collar Clerical,Compact SUV,59,Football,Plan 5
85209882,59,3,M,P,Sub-urban,1,2,White Collar Clerical,Compact SUV,45,Hockey,Plan 5
74920661,40,3,M,Q,Sub-urban,2,1,White Collar Clerical,Compact SUV,49,Hiking,Plan 5
25635967,51,3,M,A,Sub-urban,2,2,White Collar Clerical,Compact SUV,10,Para-gliding,Plan 5
37634854,45,3,M,Z,Urban,1,2,White Collar Clerical,Compact SUV,20,Adventure Sports,Plan 2
47011037,29,1,M,W,Sub-urban,1,0,White Collar Clerical,Compact SUV,9,Racing,Plan 5
14028347,59,1,M,S,Sub-urban,2,2,White Collar Clerical,Compact SUV,31,Gaming,Plan 5
98916826,58,2,M,X,Urban,2,0,White Collar Clerical,Compact SUV,22,Gadgets,Plan 2
86056256,70,1,M,E,Sub-urban,2,1,White Collar Clerical,Compact SUV,11,Sketching,Plan 5
76684689,27,1,M,D,Sub-urban,2,0,White Collar Clerical,Compact SUV,55,Music,Plan 5
83145626,52,2,M,Q,Sub-urban,2,1,White Collar Clerical,Compact SUV,59,Watching movies,Plan 5
36021532,74,1,M,A,Sub-urban,1,0,White Collar Clerical,Compact SUV,48,Football,Plan 5
77102961,56,1,M,Z,Urban,2,4,White Collar Clerical,Compact SUV,34,Hockey,Plan 2
53111722,69,3,M,W,Sub-urban,1,4,White Collar Clerical,Compact SUV,7,Hiking,Plan 5
92855312,29,3,M,S,Sub-urban,2,4,White Collar Clerical,Compact SUV,57,Para-gliding,Plan 5
86751736,64,3,M,X,Urban,1,2,White Collar Clerical,Compact SUV,6,Adventure Sports,Plan 2
23179017,20,3,M,E,Sub-urban,1,1,White Collar Clerical,Compact SUV,20,Racing,Plan 5
